OBJECTID_1,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,SHAPE_Length,SHAPE_Area
5960,4c07d11e-08f0-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16030,37053,Drumline,37053002,37053002,A037053002,0,0,5960,6685.578529,1631952.46
5961,4c07d11e-08f1-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16111,37043,Cratloe,37043001,37043001,A037043001,0,0,5961,8908.660897,2244834.767
5962,4c07d11e-08f2-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,LK,Limerick City and County,20005,128005,Ballinacurra A,128005010,128005010,A128005010,0,0,5962,5312.810112,1119903.403
5963,4c07d11e-13fe-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27001,67017,Ballinasloe Urban,67017001,67017001,A067017001,0,0,5963,5789.61545,1657288.29
5964,4c07d11e-1443-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27003,67006,Ahascragh,67006001,67006001,A067006001,0,0,5964,6086.428059,1548569.188
5965,4c07d11e-0548-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,CE,Clare,16144,37078,Kilkishen,37078003,37078003,A037078003,0,0,5965,6434.517553,2312603.697
5966,4c07d11e-1455-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GC,Galway City,26001,68001,Ballybaan,68001039,68001039,A068001039,0,0,5966,3355.264327,335500.2903
5967,4c07d11e-1466-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,RN,Roscommon,30001,197008,Athlone West Rural,197008012,197008012,A197008012,0,0,5967,6823.832802,2176764.51
5968,4c07d11e-1467-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13014,237077,Moydrum,237077005,237077005,A237077005,0,0,5968,5770.416985,1842806.827
5969,4c07d11e-1468-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,RN,Roscommon,30016,197080,Kiltoom,197080004,197080004,A197080004,0,0,5969,5609.882692,1848433.014
5970,4c07d11e-1469-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13014,237077,Moydrum,237077007,237077007,A237077007,0,0,5970,6366.650951,1910824.971
5971,4c07d11e-1426-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27001,67017,Ballinasloe Urban,67017026,67017026,A067017026,0,0,5971,6665.398951,2048941.408
5972,4c07d11e-147c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13014,237077,Moydrum,237077006,237077006,A237077006,0,0,5972,4496.28672,1148759.553
5973,4c07d11e-147d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,OY,Offaly,12029,187067,Moyclare,187067001,187067001,A187067001,0,0,5973,6518.459044,2235287.174
5974,4c07d11e-1444-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,WH,Westmeath,13002,237005,Athlone West Urban,237005009,237005009,A237005009,0,0,5974,3587.973582,482857.7676
5975,4c07d11e-1497-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,OY,Offaly,12087,187086,Tullamore Rural,187086002,187086002,A187086002,0,0,5975,6536.759464,1468560.792
5976,4c07d11e-1498-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,OY,Offaly,12063,187018,Clara,187018004,187018004,A187018004,0,0,5976,10131.69817,4253551.923
5977,4c07d11e-13f7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,25065,227067,Lismore Rural,227067006,227067006,A227067006,0,0,5977,5450.281284,1800951.425
5978,4c07d11e-13f8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18284,47258,Mitchelstown,47258021,47258021,A047258021,0,0,5978,9489.047835,3214726.637
5979,4c07d11e-13f9-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18284,47258,Mitchelstown,47258014,47258014,A047258014,0,0,5979,6706.143199,2369005.122
5980,4c07d11e-056c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18318,47295,Skull,47295004,47295004,A047295004,0,0,5980,7288.749907,3025244.751
5981,4c07d11e-056d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18318,47295,Skull,047295007/047295008,047295007/047295008,A047295007/047295008,0,0,5981,7197.233352,2506281.631
5982,4c07d11e-056e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18318,47295,Skull,47295002,47295002,A047295002,0,0,5982,8456.121174,3046207.67
5983,4c07d11e-056f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18310,47024,Ballydehob,47024005,47024005,A047024005,0,0,5983,3687.249859,552564.4552
5984,4c07d11e-0570-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18041,47187,Kilcaskan,47187007,47187007,A047187007,0,0,5984,5844.379648,955011.4903
5985,4c07d11e-0571-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18034,47042,Bantry Urban,47042009,47042009,A047042009,0,0,5985,8105.492304,2111734.913
